Current_Value,Bank_Name,Market_Value,Percentage_change,Change_Today
622.05,Axis Bank,"159,839.73",1.53,9.35
112.85,Bank of Baroda,"29,854.65",0.09,0.10
77.80,Federal Bank,"15,417.36",-0.89,-0.70
"1,969.60",HDFC Bank,"535,291.91",0.61,11.85
368.30,ICICI Bank,"237,074.34",0.46,1.70
36.15,IDFC Bank,"12,306.95",1.26,0.45
"1,522.70",IndusInd Bank,"91,630.40",0.60,9.15
"1,144.50",Kotak Mahindra,"218,269.95",1.29,14.60
71.05,PNB,"21,837.69",0.42,0.30
545.75,RBL Bank,"23,211.27",-0.54,-2.95
283.85,SBI,"253,324.42",0.09,0.25
204.50,Yes Bank,"47,263.20",-8.05,-17.90
