Current_Value,Bank_Name,Market_Value,Percentage_change,Change_Today\n
622.05,Axis Bank,"159,839.73",1.53,9.35\n
112.85,Bank of Baroda,"29,854.65",0.09,0.10\n
77.80,Federal Bank,"15,417.36",-0.89,-0.70\n
"1,969.60",HDFC Bank,"535,291.91",0.61,11.85\n
368.30,ICICI Bank,"237,074.34",0.46,1.70\n
36.15,IDFC Bank,"12,306.95",1.26,0.45\n
"1,522.70",IndusInd Bank,"91,630.40",0.60,9.15\n
"1,144.50",Kotak Mahindra,"218,269.95",1.29,14.60\n
71.05,PNB,"21,837.69",0.42,0.30\n
545.75,RBL Bank,"23,211.27",-0.54,-2.95\n
283.85,SBI,"253,324.42",0.09,0.25\n
204.50,Yes Bank,"47,263.20",-8.05,-17.90\n
